Cost, Pr(OPT<Cost)
368.0,0.01
386.0,0.02
389.0,0.03
395.0,0.04
398.0,0.05
406.0,0.060000000000000005
408.0,0.07
412.0,0.08
423.0,0.09
431.0,0.09999999999999999
432.0,0.10999999999999999
438.0,0.11999999999999998
442.0,0.12999999999999998
452.0,0.13999999999999999
456.0,0.15
457.0,0.16
461.0,0.17
462.0,0.18000000000000002
463.0,0.19000000000000003
473.0,0.20000000000000004
478.0,0.21000000000000005
480.0,0.22000000000000006
483.0,0.23000000000000007
487.0,0.24000000000000007
491.0,0.25000000000000006
495.0,0.26000000000000006
496.0,0.2700000000000001
499.0,0.2800000000000001
506.0,0.2900000000000001
508.0,0.3000000000000001
512.0,0.3100000000000001
513.0,0.3300000000000001
515.0,0.34000000000000014
518.0,0.35000000000000014
525.0,0.37000000000000016
527.0,0.38000000000000017
538.0,0.3900000000000002
546.0,0.4000000000000002
548.0,0.4100000000000002
551.0,0.4200000000000002
554.0,0.4400000000000002
565.0,0.45000000000000023
567.0,0.46000000000000024
569.0,0.47000000000000025
571.0,0.48000000000000026
574.0,0.5000000000000002
580.0,0.5100000000000002
582.0,0.5200000000000002
588.0,0.5300000000000002
596.0,0.5400000000000003
601.0,0.5500000000000003
604.0,0.5600000000000003
614.0,0.5700000000000003
618.0,0.5800000000000003
627.0,0.5900000000000003
633.0,0.6000000000000003
640.0,0.6100000000000003
642.0,0.6300000000000003
646.0,0.6400000000000003
654.0,0.6500000000000004
656.0,0.6700000000000004
667.0,0.6800000000000004
674.0,0.6900000000000004
693.0,0.7000000000000004
697.0,0.7100000000000004
698.0,0.7200000000000004
709.0,0.7300000000000004
712.0,0.7400000000000004
714.0,0.7500000000000004
717.0,0.7600000000000005
734.0,0.7700000000000005
736.0,0.7800000000000005
740.0,0.7900000000000005
744.0,0.8000000000000005
751.0,0.8100000000000005
754.0,0.8200000000000005
761.0,0.8300000000000005
770.0,0.8400000000000005
784.0,0.8500000000000005
798.0,0.8600000000000005
801.0,0.8700000000000006
805.0,0.8800000000000006
810.0,0.8900000000000006
811.0,0.9000000000000006
866.0,0.9100000000000006
869.0,0.9200000000000006
871.0,0.9300000000000006
872.0,0.9400000000000006
884.0,0.9500000000000006
886.0,0.9600000000000006
895.0,0.9700000000000006
958.0,0.9800000000000006
995.0,0.9900000000000007
999.0,1.0
